name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
AutoGainLowerLimitIncInq_RegAddr,Integer,,AutoGainLowerLimitIncInq_RegAddr,,,,,,,
AutoGainLowerLimitMaxInq_Float,SwissKnife,,AutoGainLowerLimitMaxInq_Float,,,,,,,
AutoGainLowerLimitMaxInq_Reg,IntReg,,AutoGainLowerLimitMaxInq_Reg,,RO,,,,,
AutoGainLowerLimitMaxInq_RegAddr,Integer,,AutoGainLowerLimitMaxInq_RegAddr,,,,,,,
AutoGainLowerLimitMaxInq_Reg_Float,Converter,,AutoGainLowerLimitMaxInq_Reg_Float,,,,,,,
AutoGainLowerLimitMinInq_Reg,IntReg,,AutoGainLowerLimitMinInq_Reg,,RO,,,,,
AutoGainLowerLimitMinInq_RegAddr,Integer,,AutoGainLowerLimitMinInq_RegAddr,,,,,,,
AutoGainLowerLimitMinInq_Reg_Float,Converter,,AutoGainLowerLimitMinInq_Reg_Float,,,,,,,
AutoGainLowerLimit_Int,Integer,,AutoGainLowerLimit_Int,,,,AutoGainLowerLimitMinInq_Reg,AutoGainUpperLimit_Reg,,
AutoGainLowerLimit_Reg,IntReg,,AutoGainLowerLimit_Reg,,RW,,,,,
AutoGainLowerLimit_RegAddr,Integer,,AutoGainLowerLimit_RegAddr,,,,,,,
AutoGainLowerLimit_Reg_Float,Converter,,AutoGainLowerLimit_Reg_Float,,,,,,,
AutoGainUpperLimitIncInq_Reg,IntReg,,AutoGainUpperLimitIncInq_Reg,,RO,,,,,
AutoGainUpperLimitIncInq_RegAddr,Integer,,AutoGainUpperLimitIncInq_RegAddr,,,,,,,
AutoGainUpperLimitMaxInq_Reg,IntReg,,AutoGainUpperLimitMaxInq_Reg,,RO,,,,,
AutoGainUpperLimitMaxInq_RegAddr,Integer,,AutoGainUpperLimitMaxInq_RegAddr,,,,,,,
AutoGainUpperLimitMaxInq_Reg_Float,Converter,,AutoGainUpperLimitMaxInq_Reg_Float,,,,,,,
AutoGainUpperLimitMinInq_Float,SwissKnife,,AutoGainUpperLimitMinInq_Float,,,,,,,
AutoGainUpperLimitMinInq_Reg,IntReg,,AutoGainUpperLimitMinInq_Reg,,RO,,,,,
AutoGainUpperLimitMinInq_RegAddr,Integer,,AutoGainUpperLimitMinInq_RegAddr,,,,,,,
